U169915536000133018911978     4650          JUAREZ DE OLIVEIRA ME                             
P2699155360001331             BOMBA SUBMERSA ANAUGER 800 220V                   UNI   ATT1200000000033300
P2699155360001332             BOMBA SUBMERSA ANAUGER 900 220V                   UNI   ATT1200000000037000
P2699155360001333             BOMBA SUBMERSA ANAUGER ECCO 220V                  UNI   ATT1200000000025900
P2699155360001334             BOMBA SUBMERSA ANAUGER 4                          UNI   ATT1200000000078900
P2699155360001335             BOIA ELETRICA ANAUGER 15AMP.                      UNI   ATF0000000000003500
P2699155360001331433          REBOBINAMENTO 150CV 6P TRIFASICO                  UNI   ATT1700000000591900
P2699155360001331431          REBOBINAMENTO 100CV 6P TRIFASICO                  UNI   ATT1700000000462350
P2699155360001338             BOMBA SCHNEIDER BCR-2000 1/2CV  MONO 220V         UNI   ATF0000000000045095
P2699155360001339             BOMBA SCHNEIDER BCR-2000 1/3CV MONO 220V          UNI   ATF0000000000035882
P26991553600013310            BOMBA SCHNEIDER BCR-2000 1/4CV MONO 220V          UNI   ATF0000000000036250
P26991553600013311            BOMBA SCHNEIDER BCR-2010 3/4CV MONO 220V          UNI   ATF0000000000054000
P26991553600013312            BOMBA SCHNEIDER BCR-2000 1CV MONO 220V            UNI   ATT1700000000053070
P26991553600013313            ENSILADEIRA EN-9B NOGUEIRA                        UNI   ATT1700000000458000
P26991553600013314            ENSILADEIRA EN-12B NOGUEIRA                       UNI   ATT1700000000519900
P26991553600013315            LUBRIFICANTE 1L STIHL MAGNUM - CORRENTE           UNI   ATF0000000000001200
P26991553600013316            LUBRIFICANTE 500 ML STIHL 8017 H                  UNI   ATF0000000000001400
P26991553600013317            MS 170 MOTOSSERRA,30CM/12,61PMMC3 11302000227     UNI   ATT1700000000060000
P26991553600013318            MS 250 MOTOSSERRA,40CM/16.63PM 11232000007        UNI   ATT1700000000132000
P26991553600013319            MS 260 MOTOSSERRA,40CM/16,36RS 11212000330        UNI   ATT1700000000182000
P26991553600013321            MS 381 MOTOSSERRA.40CM/16.36RS 11192000130        UNI   ATT1700000000230900
P2699155360001334078          ASPIRADOR WAP DUSTER 1400W                        UNI   ATT1700000000047500
P26991553600013322            MSE 160 C-BQ SERRA ELÉTRICA,30CM/12"              UNI   ATT1700000000097000
P2699155360001332922          FILTRO DE AR STIHL                                UNI   ATT1700000000004150
P26991553600013324            LAVADORA  RE 800KM 220V 60H BR                    UNI   ATT1700000000082600
P26991553600013325            ROÇADEIRA STIHL FS 80 GBS 230-8                   UNI   ATT1700000000091000
P26991553600013326            ROÇADEIRA STIHL KM 55 R ACOPLAMENTO F             UNI   ATT1700000000071441
P26991553600013327            ROÇADEIRA STIHL FS 160 DM 300-3 41192000038       UNI   ATT1700000000162000
P26991553600013328            ABRAÇADEIRA 1.1/4" CH 20MM                        UNI   ATT1700000000000870
P26991553600013329            ABRAÇADEIRA 1.1/2" CH 20MM                        UNI   ATT1700000000000600
P26991553600013330            ABRAÇADEIRA 2" CH 32MM                            UNI   ATT1700000000001050
P26991553600013331            ABRAÇADEIRA 3" CH 32MM                            UNI   ATT1700000000001200
P26991553600013332            ABRAÇADEIRA 4" CH 32MM                            UNI   ATT1700000000001000
