U108067532000158033896690     9027025       BIOCOLLOUR DO BRASIL LTDA - ME                    
P2080675320001581             DIRETO PRETO D 1                                  KG    ATT1700000000006760
P2080675320001582             DIRETO PRETO D 2                                  KG    ATT1700000000006700
P2080675320001583             DIRETO PRETO D 3                                  KG    ATT1700000000003276
P2080675320001585             DIRETO AZUL AZL 1                                 KG    ATT1700000000010520
P2080675320001586             DIRETO AMARELO LUZ 1                              KG    ATT1700000000007100
P2080675320001587             DIRETO ESCARLATE 4 B S - 1                        KG    ATT1700000000009900
P2080675320001588             DIRETO VERMELHO 3 B L - 1                         KG    ATT1700000000008580
P2080675320001589             DIRETO LARANJA D2 GL - 1                          KG    ATT1700000000005920
P20806753200015810            DIRETO PINK LUZ - 1                               KG    ATT1700000000006800
P20806753200015811            DIRETO TURQUESA GLI - 1                           KG    ATT1700000000004980
P20806753200015812            DIRETO TURQUESA GL - 4                            KG    ATT1700000000008000
P20806753200015813            DIRETO ALARANJADO LUZ - 5                         KG    ATT1700000000012000
P20806753200015814            DIRETO VERMELHO SOL - 5                           KG    ATT1700000000020800
P20806753200015815            DIRETO AZUL ROYAL LUZ - 5                         KG    ATT1700000000004880
P20806753200015816            DIRETO TURQUESA LUZ - 5                           KG    ATT1700000000008600
P20806753200015817            DIRETO BORDO LUZ - 5                              KG    ATT1700000000004000
P20806753200015818            REATIVO LARANJA ME 2RL                            KG    ATT1700000000004760
P20806753200015819            REATIVO VERMELHO ME 4BL                           KG    ATT1700000000004970
P20806753200015820            REATIVO AMARELO ME4GL                             KG    ATT1700000000004780
P20806753200015821            REATIVO TURQUESA R2G                              KG    ATT1700000000003840
P20806753200015822            REATIVO AZUL ME RF 150%                           KG    ATT1700000000011614
P20806753200015823            REATIVO AZUL ROYAL MER 100%                       KG    ATT1700000000014458
P20806753200015825            DIRETO AZUL 2RBI - 1                              KG    ATT1700000000007000
P20806753200015826            DIRETO CASTANHO RNL - 1                           KG    ATT1700000000016000
P20806753200015827            DIRETO AZUL RWN                                   KG    ATT1700000000007000
P20806753200015828            DIRETO ROSA LUZ FWN                               KG    ATT1700000000010000
P20806753200015829            REATIVO AZUL MARINHO MEB                          KG    ATT1700000000009000
P20806753200015830            REATIVO AMARELO MERL 150%                         KG    ATT1700000000009000
P20806753200015831            DIRETO VERMELHO B5B                               KG    ATT1700000000008000
P20806753200015832            DIRETO VIOLETA GL                                 KG    ATT1700000000009000
P208067532000158119           MP ACIDO ACETICO GLACIAL 99%                      KG    ATT1700000000000747
P208067532000158120           BIO ACIDO ACETICO                                 KG????ATT0000000000000724
P208067532000158121           MP CLORETO DE DIESTERALCONEO QUATERCAP TMS 375    KG    ATT1700000000001606
P2080675320001581             DIRETO PRETO D 1                                  CX    ATT1700000000006400
P2080675320001582             DIRETO PRETO D 2                                  CX    ATT1700000000006300
P2080675320001583             DIRETO PRETO D 3                                  CX    ATT1700000000005300
P2080675320001585             DIRETO AZUL AZL 1                                 KG    ATT1700000000010000
P2080675320001586             DIRETO AMARELO LUZ 1                              CX    ATT1700000000006700
P2080675320001587             DIRETO ESCARLATE 4 B S - 1                        CX    ATT1700000000009400
P2080675320001588             DIRETO VERMELHO 3 B L - 1                         CX    ATT1700000000008100
P2080675320001589             DIRETO LARANJA D2 GL - 1                          CX    ATT1700000000005600
P20806753200015810            DIRETO PINK LUZ - 1                               CX    ATT1700000000006500
P20806753200015811            DIRETO TURQUESA GLI - 1                           CX    ATT1700000000004700
P20806753200015812            DIRETO TURQUESA GL - 4                            CX    ATT1700000000007600
P20806753200015813            DIRETO ALARANJADO LUZ - 5                         CX    ATT1700000000011400
P20806753200015814            DIRETO VERMELHO SOL - 5                           CX    ATT1700000000019760
P20806753200015815            DIRETO AZUL ROYAL LUZ - 5                         CX    ATT1700000000004600
P20806753200015816            DIRETO TURQUESA LUZ - 5                           CX    ATT1700000000008100
P20806753200015817            DIRETO BORDO LUZ - 5                              CX    ATT1700000000003800
P20806753200015818            REATIVO LARANJA ME 2RL                            CX    ATT1700000000004522
P20806753200015819            REATIVO VERMELHO ME 4BL                           CX    ATT1700000000004700
P20806753200015820            REATIVO AMARELO ME4GL                             CX    ATT1700000000004540
P20806753200015821            REATIVO TURQUESA R2G                              CX    ATT1700000000003650
P20806753200015822            REATIVO AZUL ME RF 150%                           CX    ATT1700000000011000
P20806753200015823            REATIVO AZUL ROYAL MER 100%                       CX    ATT1700000000013700
P20806753200015825            DIRETO AZUL 2RBI - 1                              KG    ATT1700000000006600
P20806753200015826            DIRETO CASTANHO RNL - 1                           CX    ATT1700000000015200
P20806753200015827            DIRETO AZUL RWN                                   CX    ATT1700000000006600
P20806753200015828            DIRETO ROSA LUZ FWN                               CX    ATT1700000000009500
P20806753200015829            REATIVO AZUL MARINHO MEB                          CX    ATT1700000000008500
P20806753200015830            REATIVO AMARELO MERL 150%                         CX    ATT1700000000008500
P20806753200015831            DIRETO VERMELHO B5B                               CX    ATT1700000000007600
P20806753200015832            DIRETO VIOLETA GL                                 CX    ATT1700000000008500
E2080675320001581             DIRETO PRETO D 1                                  KG    +000000000
E2080675320001582             DIRETO PRETO D 2                                  KG    +000010000
E2080675320001583             DIRETO PRETO D 3                                  KG    +000047500
E2080675320001584             TRIC DIRETO BEJE                                  KG    +000000000
E2080675320001585             DIRETO AZUL AZL 1                                 KG    +000002500
E2080675320001586             DIRETO AMARELO LUZ 1                              KG    +000027500
E2080675320001587             DIRETO ESCARLATE 4 B S - 1                        KG    +000015000
E2080675320001588             DIRETO VERMELHO 3 B L - 1                         KG    +000002500
E2080675320001589             DIRETO LARANJA D2 GL - 1                          KG    +000002500
E20806753200015810            DIRETO PINK LUZ - 1                               KG    +000022500
E20806753200015811            DIRETO TURQUESA GLI - 1                           KG    +000000000
E20806753200015812            DIRETO TURQUESA GL - 4                            KG    +000005000
E20806753200015813            DIRETO ALARANJADO LUZ - 5                         KG    +000002500
E20806753200015814            DIRETO VERMELHO SOL - 5                           KG    +000007500
E20806753200015815            DIRETO AZUL ROYAL LUZ - 5                         KG    +000002500
E20806753200015816            DIRETO TURQUESA LUZ - 5                           KG    +000002500
E20806753200015817            DIRETO BORDO LUZ - 5                              KG    +000002500
E20806753200015818            REATIVO LARANJA ME 2RL                            KG    +000000600
E20806753200015819            REATIVO VERMELHO ME 4BL                           KG    +000002500
E20806753200015820            REATIVO AMARELO ME4GL                             KG    +000002500
E20806753200015821            REATIVO TURQUESA R2G                              KG    +000002500
E20806753200015822            REATIVO AZUL ME RF 150%                           KG    +000007500
E20806753200015823            REATIVO AZUL ROYAL MER 100%                       KG    +000005000
E20806753200015824            TRIC DIRETO AZUL BAIRON                           KG    +000000100
E20806753200015825            DIRETO AZUL 2RBI - 1                              KG    +000005000
E20806753200015826            DIRETO CASTANHO RNL - 1                           KG    +000005000
E20806753200015827            DIRETO AZUL RWN                                   KG    +000002500
E20806753200015828            DIRETO ROSA LUZ FWN                               KG    +000007500
E20806753200015829            REATIVO AZUL MARINHO MEB                          KG    +000005000
E20806753200015830            REATIVO AMARELO MERL 150%                         KG    +000005000
E20806753200015831            DIRETO VERMELHO B5B                               KG    +000002500
E20806753200015832            DIRETO VIOLETA GL                                 KG    +000002500
E20806753200015833            TRIC DIRETO ALUMINIO                              KG    +000000000
E20806753200015834            TRIC DIRETO AREIA                                 KG    +000000000
E20806753200015835            TRIC DIRETO ARGILA                                KG    +000000000
E20806753200015836            TRIC DIRETO AZUL BRITANIA                         KG    +000000000
E20806753200015837            TRIC DIRETO AZUL CARBONO                          KG    +000000000
E20806753200015838            TRIC DIRETO AZUL CARIBE                           KG    +000000000
E20806753200015839            TRIC DIRETO AZUL CINTILANTE                       KG    +000000000
E20806753200015840            TRIC DIRETO AZUL COLONIAL                         KG    +000000000
E20806753200015841            TRIC DIRETO AZUL NOITE B                          KG    +000000000
E20806753200015842            TRIC DIRETO AZUL NOITE CASTANHO                   KG    +000000000
E20806753200015843            TRIC DIRETO AZUL TEMPESTADE                       KG    +000000000
E20806753200015844            TRIC DIRETO BARRO M                               KG    +000000000
E20806753200015845            TRIC DIRETO BARRO                                 KG    +000000000
E20806753200015846            TRIC DIRETO CAFE                                  KG    +000000000
E20806753200015847            TRIC DIRETO BISCOITO                              KG    +000000000
E20806753200015848            TRIC DIRETO CHEDAR I                              KG    +000000000
E20806753200015849            TRIC DIRETO CHEDAR II                             KG    +000000000
E20806753200015850            TRIC DIRETO CASTOR                                KG    +000000000
E20806753200015851            TRIC DIRETO MARINHO                               KG    +000000000
E20806753200015852            TRIC DIRETO AZUL MARINHO                          KG    +000000000
E20806753200015853            TRIC DIRETO BLACK BLUE                            KG    +000000000
E20806753200015854            TRIC DIRETO BLACK BLUE ESPECIAL                   KG    +000000000
E20806753200015855            TRIC DIRETO CREME 12                              KG    +000000000
E20806753200015856            TRIC DIRETO CREME SHOW ESPECIAL                   KG    +000000000
E20806753200015857            TRIC DIRETO CREME SHOW                            KG    +000000000
E20806753200015858            TRIC DIRETO CANA DE AÇUCAR                        KG    +000000000
E20806753200015859            TRIC DIRETO CHARUTO                               KG    +000000000
E20806753200015860            TRIC DIRETO CRISTAL                               KG    +000000000
E20806753200015861            TRIC DIRETO CHÁ II                                KG    +000000000
E20806753200015862            TRIC DIRETO CASTANHO FERRUGEM                     KG    +000000000
E20806753200015863            TRIC DIRETO CHOCOLATE                             KG    +000000000
E20806753200015864            TRIC DIRETO CINZA GREY                            KG    +000000000
E20806753200015865            TRIC DIRETO CINZA MEDIO                           KG    +000000000
E20806753200015866            TRIC DIRETO CINZA PELTRO I                        KG    +000000000
E20806753200015867            TRIC DIRETO CAQUI                                 KG    +000000000
E20806753200015868            TRIC DIRETO CINZA PELTRO II                       KG    +000000000
E20806753200015869            TRIC DIRETO CHUMBO                                KG    +000000000
E20806753200015870            TRIC DIRETO CINZA PELTRO III                      KG    +000000000
E20806753200015871            TRIC DIRETO DESERTO                               KG    +000000000
E20806753200015872            TRIC DIRETO FERRUGEM                              KG    +000000000
E20806753200015873            TRIC DIRETO FERRUGEM SIERRA                       KG    +000000000
E20806753200015874            TRIC DIRETO FERRUGEM SIERRA II                    KG    +000000000
E20806753200015875            TRIC DIRETO GELO                                  KG    +000000000
E20806753200015876            TRIC DIRETO GRAFITE                               KG    +000000000
E20806753200015877            TRIC DIRETO GELO ESPECIAL II                      KG    +000000000
E20806753200015878            TRIC DIRETO JET BLACK                             KG    +000000000
E20806753200015879            TRIC DIRETO LARANJÃO                              KG    +000000000
E20806753200015880            TRIC DIRETO LARANJINHA                            KG    +000000000
E20806753200015881            TRIC DIRETO LARANJA SAFROM                        KG    +000000000
E20806753200015882            TRIC DIRETO LARANJA MANGO                         KG    +000000000
E20806753200015883            TRIC DIRETO LILAS III                             KG    +000000000
E20806753200015884            TRIC DIRETO MARROM QUEST                          KG    +000000000
E20806753200015885            TRIC DIRETO MANGO                                 KG    +000000000
E20806753200015886            TRIC DIRETO MORENO                                KG    +000000000
E20806753200015887            TRIC DIRETO MARRON                                KG    +000000000
E20806753200015888            TRIC DIRETO MORRON AMBAR                          KG    +000000000
E20806753200015889            TRIC DIRETO MOSTARDA                              KG    +000000000
E20806753200015890            TRIC DIRETO MARRON CHOCOLATE                      KG    +000000000
E20806753200015891            TRIC DIRETO MARRON ESCURO                         KG    +000000000
E20806753200015892            TRIC DIRETO MARRON TELHA                          KG    +000000000
E20806753200015893            TRIC DIRETO MORRON AMBAR II                       KG    +000000000
E20806753200015894            TRIC DIRETO PELE                                  KG    +000000000
E20806753200015895            TRIC DIRETO PINK LOUCO                            KG    +000000000
E20806753200015896            TRIC DIRETO PEQUIM                                KG    +000000000
E20806753200015897            TRIC DIRETO PRETO YELLOW                          KG    +000000000
E20806753200015898            TRIC DIRETO ROSA SACHE                            KG    +000000000
E20806753200015899            TRIC DIRETO ROSA BEGE                             KG    +000000000
E208067532000158100           TRIC DIRETO ROSA PINK                             KG    +000000000
E208067532000158101           TRIC DIRETO MEXIRICA                              KG    +000000000
E208067532000158102           TRIC DIRETO MUSGO                                 KG    +000000000
E208067532000158103           TRIC DIRETO NEGRO VERDE                           KG    +000000000
E208067532000158104           TRIC DIRETO OVER BLACK                            KG    +000000000
E208067532000158105           TRIC DIRETO ORQUIDEA                              KG    +000000000
E208067532000158106           TRIC DIRETO PALMA                                 KG    +000000000
E208067532000158107           TRIC DIRETO PAPAIA                                KG    +000000000
E208067532000158108           TRIC DIRETO SALMON I                              KG    +000000000
E208067532000158109           TRIC DIRETO SALMON II                             KG    +000000000
E208067532000158110           TRIC DIRETO SEIVA                                 KG    +000000000
E208067532000158111           TRIC DIRETO SALMON PAPAIA                         KG    +000000000
E208067532000158112           TRIC DIRETO TELHA                                 KG    +000000000
E208067532000158113           TRIC DIRETO TANGERINA                             KG    +000000000
E208067532000158114           TRIC DIRETO VERDE PALMA                           KG    +000000000
E208067532000158115           TRIC DIRETO VERDE MILITAR                         KG    +000000000
E208067532000158116           TRIC DIRETO VERDE MATA                            KG    +000000000
E208067532000158117           TRIC DIRETO VERDE OLIVA                           KG    +000000000
E208067532000158118           TRIC DIRETO CHICLETE                              KG    +000000000
E208067532000158119           MP ACIDO ACETICO GLACIAL 99%                      KG    +000000000
E208067532000158120           BIO ACIDO ACETICO                                 KG    +000000000
E208067532000158121           MP CLORETO DE DIESTERALCONEO QUATERCAP TMS 375    KG    +000000000
E208067532000158122           BIO AMACIANTE BIO SOFT                            KG    +000000000
E3EL051100000000005898 ECF-IF BEMATECH            Daruma              20150327155450
R01EL0511000000000058981ECF-IF BEMATECH            FiscNET                       2008100108000500103590277000100     0357789970359027700010000000000ISENTO00000000001505IVAN QUIRINO DE LIMA - ME               SICEpdv.net                             3.1.0.0   7fcbdb7ebe28175f892cfabf57765da920150327201503270201
R02EL0511000000000058981FiscNET             00000071001185000001201503272015033104381000000000002172N
R03EL0511000000000058981FiscNET             00000071Can-T  0000000002172
R03EL0511000000000058981FiscNET             00000071Can-S  -0000000000100
R03EL0511000000000058981FiscNET             00000071DT     0000000000000
R03EL0511000000000058981FiscNET             00000071DS     -0000000000100
R03EL0511000000000058981FiscNET             00000071F1     0000000000000
R03EL0511000000000058981FiscNET             00000071FS1    -0000000000100
R03EL0511000000000058981FiscNET             00000071I1     0000000000000
R03EL0511000000000058981FiscNET             00000071IS1    -0000000000100
R03EL0511000000000058981FiscNET             00000071N1     0000000000000
R03EL0511000000000058981FiscNET             00000071NS1    -0000000000100
R03EL0511000000000058981FiscNET             000000711T1700 0000000000000
R03EL0511000000000058981FiscNET             000000712T2500 0000000000000
R03EL0511000000000058981FiscNET             000000713T1200 0000000000000
R03EL0511000000000058981FiscNET             000000714T7000 0000000000000
R03EL0511000000000058981FiscNET             000000715T2700 0000000000000
R03EL0511000000000058981FiscNET             00000071OPNF   0000000000000
R03EL0511000000000058981FiscNET             00000071AT     0000000000000
R03EL0511000000000058981FiscNET             00000071AS     0000000000000
R04EL051100000000005898 FiscNET             0100051400118420150327000000000021720000000000000 0000000000000 00000000000000S0000000000000                                         00000000000000
R05EL051100000000005898 FiscNET             01001184000514003120           BIO ACIDO ACETICO                                                                                   0000100KG 00000724000000000000000000000000000724I1     N000000000000000000000000000000000AT23
R05EL051100000000005898 FiscNET             01001184000514002120           BIO ACIDO ACETICO                                                                                   0000100KG 00000724000000000000000000000000000724I1     N000000000000000000000000000000000AT23
R05EL051100000000005898 FiscNET             01001184000514001120           BIO ACIDO ACETICO                                                                                   0000100KG 00000724000000000000000000000000000724I1     N000000000000000000000000000000000AT23
EAD39fb8a8aa6f28b8f769ab5b7bc2f2a2375b6894b973228b8f9eadeba837aac33d0abf4ccfe10a4e26eb1bec361a456a40169d41b7a4597a1aea1558a2577e3d2a2321a9213102a84bf1e899e2dffc670f76f7335184bfea3066955546654241d9c805f90288f44e7c8930c92ca92e8268802d2ac21fc06c1a7887b44bef53c72
