U102433807000143024870986     000000        MARIA MARLENE  NEVES ME                           
P2024338070001430364601840    BLUSA FEM- COLCCI                                 UNI   ATT1700000000026400
P20243380700014319102813      BLUSA JARDIM SECRETO CHECKLIST                    UNI   ATT1700000000016400
P2024338070001431271827       BONE MASC. DTA                                    UNI   ATT1700000000006700
P20243380700014376            BRINCO  EM STRASS PRETO                           UNI   ATT1700000000045540
P202433807000143424           BRINCO CORAÇÃO                                    UNI   ATT1700000000022540
P2024338070001430350105540    CAMISA MASCULINA COLCCI                           UNI   ATT1700000000012000
P202433807000143332           PULSEIRA STRASS                                   UNI   ATT1700000000020470
P2024338070001431270761       TUNICA MASC DTA                                   UNI   ATT1700000000013860
P202433807000143007921        1 MILLION (PACO RABANE)                           UNI   ATT1700000000045900
P20243380700014371803         212 SEXY 30 ml - CAROLINA HERRERA                 UNI   ATT1700000000022000
P202433807000143558423        212 SEXY 30ML( CAROLINA HERRERA)                  UNI   ATT1700000000018000
P202433807000143711767        212 VIP 80ML(CAROLINA HERRERA)                    UNI   ATT1700000000040000
P202433807000143213506        212 vip masculino                                 UNI   ATT1700000000038000
P202433807000143341605        2120MEN 100ML ( CAROLINA HERRERA)                 UNI   ATT1700000000036000
P202433807000143TMGG          656                                               UNI   ATT1700000000011000
P20243380700014350020002      AGENDA 2011 (CHECKLIST)                           UNI   ATT1700000000003400
P20243380700014320198         AGENDA CARTONADO SUSTENTAVEL BRANCO-U             UNI   ATT1700000000003670
P20243380700014322            ALIANÇA AMETISTA                                  UNI   ATT1700000000011040
P20243380700014335            ALIANCA PRATA C/ CORAÇÃO PENDURADO                UNI   ATT1700000000009605
P202433807000143002           AMACIANTE DE SAPATOS                              UNI   ATT1700000000002600
P202433807000143063697        AMOR AMOR CACHAREL 30ML                           UNI   ATT1700000000014000
P20243380700014319000510      ANAGUA RENDA CHECKLIST                            UNI   ATT1700000000004930
P20243380700014323250023      ANCHARPE DEVORE LILAC                             UNI   ATT1700000000005699
P202433807000143290           AND. SOMER PLAFORMA LISTRADA 8013100290           UNI   ATT1700000000020677
P202433807000143162           ANEL                                              UNI   ATT1700000000014640
P20243380700014313            ANEL                                              UNI   ATT1700000000009840
P20243380700014340            ANEL                                              UNI   ATT1700000000011760
P202433807000143941           ANEL   STRSS PRATA                                UNI   ATT1700000000031740
P202433807000143155           ANEL  COM UMA PEDRA PRATA                         UNI   ATT1700000000011500
