U124751016000102067201962     0             FERNANDO & IZANARIA LTDA ME??????????
R01BE0511756100001205141ECF-IF BEMATECH            Bematech                      2011101713124000111111111111111     1111111110359027700010000000000ISENTO00000000001505IVAN QUIRINO DE LIMA - ME               SICEpdv.net                             4.0.0.0   394e270c298f9e2a3702e2f004953ac820170807201708070203
R02BE0511756100001205141Bematech????????????00000155001771   000002201708072017080703181500000000002250N
R03BE0511756100001205141Bematech????????????00000155Can-T  0000000000750
R03BE0511756100001205141Bematech????????????00000155Can-S  0000000000000
R03BE0511756100001205141Bematech????????????00000155DT     0000000000000
R03BE0511756100001205141Bematech????????????00000155DS     0000000000000
R03BE0511756100001205141Bematech????????????00000155F1     0000000000000
R03BE0511756100001205141Bematech????????????00000155FS1    0000000000000
R03BE0511756100001205141Bematech????????????00000155I1     0000000001500
R03BE0511756100001205141Bematech????????????00000155IS1    0000000000000
R03BE0511756100001205141Bematech????????????00000155N1     0000000000000
R03BE0511756100001205141Bematech????????????00000155NS1    0000000000000
R03BE0511756100001205141Bematech????????????000001551T1700 0000000000000
R03BE0511756100001205141Bematech????????????000001552T1200 0000000000000
R03BE0511756100001205141Bematech????????????000001553T7000 0000000000000
R03BE0511756100001205141Bematech????????????000001554T2700 0000000000000
R03BE0511756100001205141Bematech????????????000001555T2500 0000000000000
R03BE0511756100001205141Bematech????????????000001556T2000 0000000000000
R03BE0511756100001205141Bematech????????????000001557T0000 0000000000000
R03BE0511756100001205141Bematech????????????000001558T1800 0000000000000
R03BE0511756100001205141Bematech????????????00000155OPNF   0000000000000
R03BE0511756100001205141Bematech????????????00000155AT     0000000000000
R03BE0511756100001205141Bematech????????????00000155AS     0000000000000
EAD5c8b60bb794bf8db7f23354d15c85ce53b0507369d4ee2d828ddacbdde95c8235d6b6ef6d7fe4d15b0a4246a0cf161cc0ad6eedfbbf857bb5ff7f3566359bc6703fc8af53ddcb65fa42b7dab28d772c9b88a52c9287e8891a38c5d5ff0699880bb7fdf988a229974884caa1c7feb4ed698fd973cb0643db07e4193c6c48b49a7
