U105558626000131030132606     165787        GRA RAMOS DA SILVA CAMPOS ME??????????
R01BE0511756100001205141ECF-IF BEMATECH            Bematech                      2011101713124000111111111111111     1111111110359027700010000000000ISENTO00000000001505IVAN QUIRINO DE LIMA - ME               SICEpdv.net                             4.0.0.0   22feb5dc7df7c48de8c4bf6590092e2b20171108201711080203
R02BE0511756100001205141Bematech????????????00000160001819   000002201711082017110810411400000000000174N
R02BE0511756100001205141Bematech????????????00000162001842   000002201711082017112809372300000000002956N
R03BE0511756100001205141Bematech????????????00000160Can-T  0000000000000
R03BE0511756100001205141Bematech????????????00000160Can-S  0000000000000
R03BE0511756100001205141Bematech????????????00000160DT     0000000000000
R03BE0511756100001205141Bematech????????????00000160DS     0000000000000
R03BE0511756100001205141Bematech????????????00000160F1     0000000000174
R03BE0511756100001205141Bematech????????????00000160FS1    0000000000000
R03BE0511756100001205141Bematech????????????00000160I1     0000000000000
R03BE0511756100001205141Bematech????????????00000160IS1    0000000000000
R03BE0511756100001205141Bematech????????????00000160N1     0000000000000
R03BE0511756100001205141Bematech????????????00000160NS1    0000000000000
R03BE0511756100001205141Bematech????????????000001601T1700 0000000000000
R03BE0511756100001205141Bematech????????????000001602T1200 0000000000000
R03BE0511756100001205141Bematech????????????000001603T7000 0000000000000
R03BE0511756100001205141Bematech????????????000001604T2700 0000000000000
R03BE0511756100001205141Bematech????????????000001605T2500 0000000000000
R03BE0511756100001205141Bematech????????????000001606T2000 0000000000000
R03BE0511756100001205141Bematech????????????000001607T0000 0000000000000
R03BE0511756100001205141Bematech????????????000001608T1800 0000000000000
R03BE0511756100001205141Bematech????????????00000160OPNF   0000000000000
R03BE0511756100001205141Bematech????????????00000160AT     0000000000000
R03BE0511756100001205141Bematech????????????00000160AS     0000000000000
R03BE0511756100001205141Bematech????????????00000162Can-T  0000000000000
R03BE0511756100001205141Bematech????????????00000162Can-S  0000000000000
R03BE0511756100001205141Bematech????????????00000162DT     0000000000000
R03BE0511756100001205141Bematech????????????00000162DS     0000000000000
R03BE0511756100001205141Bematech????????????00000162F1     0000000002797
R03BE0511756100001205141Bematech????????????00000162FS1    0000000000000
R03BE0511756100001205141Bematech????????????00000162I1     0000000000000
R03BE0511756100001205141Bematech????????????00000162IS1    0000000000000
R03BE0511756100001205141Bematech????????????00000162N1     0000000000000
R03BE0511756100001205141Bematech????????????00000162NS1    0000000000000
R03BE0511756100001205141Bematech????????????000001621T1700 0000000000000
R03BE0511756100001205141Bematech????????????000001622T1200 0000000000000
R03BE0511756100001205141Bematech????????????000001623T7000 0000000000000
R03BE0511756100001205141Bematech????????????000001624T2700 0000000000000
R03BE0511756100001205141Bematech????????????000001625T2500 0000000000000
R03BE0511756100001205141Bematech????????????000001626T2000 0000000000000
R03BE0511756100001205141Bematech????????????000001627T0000 0000000000000
R03BE0511756100001205141Bematech????????????000001628T1800 0000000000159
R03BE0511756100001205141Bematech????????????00000162OPNF   0000000000000
R03BE0511756100001205141Bematech????????????00000162AT     0000000000000
R03BE0511756100001205141Bematech????????????00000162AS     0000000000000
R05BE051175610000120514 Bematech            01001824   00085800000130169         MAÇÃ                                                                                                0000100UNI0000006900000000000000000000000000006901T1800N000000000000000000000000000000000AT23
R07BE051175610000120514 Bematech            01001824000000858000000000Dinheiro       0000000000069N0000000000000
EADb497419327ad9320acbf989761f343959c2702c233c467d6c5f9cdcfc1d394d4eb442c711c741a92b7f76478bf0c3d85d9b0ea5fd2f4029d00448c4387866075df5fc3fc94846e60e7ddc5177bec470168e80e27932f1c472e550b07788496d561365933b731dc1d1979332e852c3fb9d439849a3a22b0f8c9d894e9611ccdfa
