U110385908000114037201956     1255800       TORRES FOMENTO MERCANTIL COMERCIAL E EMPRESARIAL??????????
P2103859080001142             AGUARD.DE CANA PITU 600ML                         GR????ATF0000000000005400
P2103859080001143             CERVEJA SKOL 600ML                                GR????ATF0000000000008600
P210385908000114885           SAND HAV COLOR AZUL NAVAL 33/34                   PC????ATT1800000000003750
P2103859080001144             CERVEJA ANTARCTICA 600ML                          GR????ATF0000000000008600
P2103859080001149             AGUA C/GAS SCHICARIOL 500 ML                      PC    ATF0000000000001400
P21038590800011410            AGUA INDAIA 1500 ML                               PC    ATF0000000000000680
P21038590800011411            AGUA INDAIA 500 ML                                PC    ATF0000000000001000
P21038590800011414            AGUA S.TUBARÃO 12X1000 ML                         CX????ATF0000000000001600
P21038590800011416            AGUARD.DE CANA PITU 965 ML                        L     ATF0000000000000420
P21038590800011417            AGUARD.DE CANA PITU LATA 350 ML                   CX????ATF0000000000002800
P21038590800011418            TESTE VENDA LOTE - 14                             CX    ATF0000000001400000
P21038590800011420            ALCATRAO SAO JOAO DA BARRA                        L?????ATT1800000000001000
P21038590800011422            AMENDOIM COL.500G                                 PC????ATF0000000000000270
P21038590800011423            ANADOR C/120                                      CX????ATF0000000000004200
P21038590800011424            ARRAME MOTTO 500 MT                               UNI   ATF0000000000018500
P210385908000114873           VULCANO ENERG. DRINK 2 LT                         UNI???ATF0000000000001300
P21038590800011426            ARROZINA 200 G                                    UNI???ATF0000000000000150
P21038590800011427            AZEITONA SACHE 100 G                              UNI???ATT1800000000000100
P21038590800011428            BACARDI CARTA BLANCA                              L?????ATF0000000000002500
P21038590800011429            BACARDI LIMON                                     L?????ATF0000000000002350
P21038590800011430            BALA AMENDOIN                                     PC????ATT1800000000000400
P21038590800011432            BALA BANZE SORT 700 G                             PC????ATT1800000000000500
P21038590800011434            BALA DELICIA LEITE COND.                          PC????ATT1800000000000380
P21038590800011435            BALA DELICIA SORT                                 PC????ATT1800000000000380
P21038590800011440            BALA SANTA FÉ MEL 700 G                           PC????ATT1800000000000350
P21038590800011444            BALA SANTA FÉ HORTELA 700 G                       PC????ATT1800000000000350
P21038590800011446            BALA XAXA BANANA                                  PC????ATT1800000000000350
P21038590800011449            BATON BRANCO                                      CX????ATT1800000000001150
P21038590800011450            BATON PRETO                                       CX????ATT1800000000001100
P21038590800011451            BISC RECH TRELOSO 30X130 G CHOC                   CX????ATF0000000000002900
P21038590800011452            BISC RECH TRELOSO 30X130 G MOR                    CX????ATF0000000000002900
P21038590800011453            BISC RECH TRELOSO 30X60 G MORAN                   CX????ATF0000000000001400
P21038590800011454            BISC RECH TRELOSO 30X60 G CHOC                    CX    ATF0000000000001400
P21038590800011455            BOLINHA DE CHOCOLATE C/50                         PC????ATT1800000000000350
P21038590800011459            BOMBOM MISTO BEL C/50                             PC????ATT1800000000000500
P21038590800011460            BOMBRIL C/14                                      PC????ATT1800000000001350
P21038590800011462            CAFE OURO VERDE 20X250 G                          PC????ATT1800000000007600
P21038590800011463            CAMPARI                                           L?????ATF0000000000002700
P210385908000114493           FREEGELLS MORANGO C/12                            CX????ATT1800000000000450
P21038590800011465            CANA NORDESTINA 600 ML                            GR????ATF0000000000002500
P21038590800011470            CARLTON                                           PC????ATF0000000000008900
P21038590800011471            CATUABA DONZELA                                   UNI???ATF0000000000000360
P21038590800011472            CATUABA FOGOSA 900 ML                             UNI???ATF0000000000000360
P21038590800011473            CEDA TREVO C/35                                   CX????ATF0000000000003200
P210385908000114487           BARBIADOR PROBAK II. C/24                         PC????ATF0000000000002850
P21038590800011482            CERVEJA BOHEMIA 600 ML                            GR????ATF0000000000004800
P21038590800011484            CERVEJA BRAHMA CHOPP 600ML                        GR????ATF0000000000007700
P21038590800011485            CERVEJA BRAHMA FRESH  600ML                       GR????ATF0000000000007300
P21038590800011487            CERVEJA NOVA SCHIN 600 ML                         GR????ATF0000000000007000
P21038590800011488            CERVEJA NOVA SCHIN LATA C/12                      CX????ATF0000000000001500
P210385908000114884           SAND HAV COLOR CAFE 43/44                         PC????ATT1800000000003750
P21038590800011489            CERVEJA NOVA SCHIN LATAO C/12                     CX????ATF0000000000002300
P210385908000114605           RON CRISTAL 700 ML                                L?????ATF0000000000000950
