U102422200000168024564273     183           CARROCERIAS E POSTO DE MOLAS VILA BELA LTDA - ME??????????
R01BE0511756100001205141ECF-IF BEMATECH            MP-2100 TH FI       0101      2011101713124000111111111111111     1111111110359027700010000000000ISENTO00000000001505IVAN QUIRINO DE LIMA - ME               SICEpdv.net                             4.0.0.0   f63c6315a2285088c04a890a741eaa9520170828201708280203
R02BE0511756100001205141Bematech????????????00000159001811   000002201708282017082209054700000000013710N
R03BE0511756100001205141Bematech????????????00000159Can-T  0000000001190
R03BE0511756100001205141Bematech????????????00000159Can-S  0000000000000
R03BE0511756100001205141Bematech????????????00000159DT     0000000000000
R03BE0511756100001205141Bematech????????????00000159DS     0000000000000
R03BE0511756100001205141Bematech????????????00000159F1     0000000007140
R03BE0511756100001205141Bematech????????????00000159FS1    0000000000000
R03BE0511756100001205141Bematech????????????00000159I1     0000000000000
R03BE0511756100001205141Bematech????????????00000159IS1    0000000000000
R03BE0511756100001205141Bematech????????????00000159N1     0000000000000
R03BE0511756100001205141Bematech????????????00000159NS1    0000000000000
R03BE0511756100001205141Bematech????????????000001591T1700 0000000000000
R03BE0511756100001205141Bematech????????????000001592T1200 0000000000000
R03BE0511756100001205141Bematech????????????000001593T7000 0000000000000
R03BE0511756100001205141Bematech????????????000001594T2700 0000000000000
R03BE0511756100001205141Bematech????????????000001595T2500 0000000000000
R03BE0511756100001205141Bematech????????????000001596T2000 0000000000000
R03BE0511756100001205141Bematech????????????000001597T0000 0000000000000
R03BE0511756100001205141Bematech????????????000001598T1800 0000000005380
R03BE0511756100001205141Bematech????????????00000159OPNF   0000000020000
R03BE0511756100001205141Bematech????????????00000159AT     0000000000000
R03BE0511756100001205141Bematech????????????00000159AS     0000000000000
EAD725b84df1aedae60f63a8eccfd98337b57d4e03051ea82e880e77b32f16f5fe7648854b2e7e7c9e2a62805377337ba4ae03c7033fadc3434b8a629569950ab6d95e5ff0e3b2e14ed2e9eaac7e2cace37073f47b2a67eceaca606cd73330e5318e08f0e61f9133e0e63752ab31c02b18849d0d3eb8306ff9ca9f8ac22eccfa82f
