U105558626000131030132606     0             G R A RAMOS DA SILVA CAMPOS ME??????????
R01BE0511756100001205141ECF-IF BEMATECH            Bematech                      2011101713124000111111111111111     1111111110359027700010000000000ISENTO00000000001505IVAN QUIRINO DE LIMA - ME               SICEpdv.net                             4.0.0.0   62ca7bda36f1997e81cf7dc2bef24e6f20171125201711250203
R02BE0511756100001205141Bematech????????????00000161001825   000002201711252017112311202900000000000224N
R03BE0511756100001205141Bematech????????????00000161Can-T  0000000000000
R03BE0511756100001205141Bematech????????????00000161Can-S  0000000000000
R03BE0511756100001205141Bematech????????????00000161DT     0000000000000
R03BE0511756100001205141Bematech????????????00000161DS     0000000000000
R03BE0511756100001205141Bematech????????????00000161F1     0000000000000
R03BE0511756100001205141Bematech????????????00000161FS1    0000000000000
R03BE0511756100001205141Bematech????????????00000161I1     0000000000000
R03BE0511756100001205141Bematech????????????00000161IS1    0000000000000
R03BE0511756100001205141Bematech????????????00000161N1     0000000000155
R03BE0511756100001205141Bematech????????????00000161NS1    0000000000000
R03BE0511756100001205141Bematech????????????000001611T1700 0000000000000
R03BE0511756100001205141Bematech????????????000001612T1200 0000000000000
R03BE0511756100001205141Bematech????????????000001613T7000 0000000000000
R03BE0511756100001205141Bematech????????????000001614T2700 0000000000000
R03BE0511756100001205141Bematech????????????000001615T2500 0000000000000
R03BE0511756100001205141Bematech????????????000001616T2000 0000000000000
R03BE0511756100001205141Bematech????????????000001617T0000 0000000000000
R03BE0511756100001205141Bematech????????????000001618T1800 0000000000069
R03BE0511756100001205141Bematech????????????00000161OPNF   0000000000000
R03BE0511756100001205141Bematech????????????00000161AT     0000000000000
R03BE0511756100001205141Bematech????????????00000161AS     0000000000000
EAD63fc9b2e04ab53ab330da67a09f38f2bb3b37f646d827884a25f8604117e5385e93cb36ead01e38ec3758cd0db54757e99460631eab01741de5b320b85baa37f66447774cd5a91a5fcf817ea1b3134a49aa0e8cc747f14ada49c74ca92430150ce072a228468f94e98ede435da2308513337c5d9cba4cd3126fcb4646da297f1
