U116455074000152123883555     82649000      V. SOARES SILVA & CIA LTDA-ME??????????
P2164550740001523             CREPE PASQUALE FESTA CORES                        M     ATI0000000000003600
P2164550740001524             FIO ROSA PINK 044 SETE                            UNI   ATI0000000000000250
P2164550740001525             FIO ROXO 083 SETE                                 UNI   ATI0000000000000250
P2164550740001527             FIO VERDE PISCINA 063 SETE                        UNI   ATI0000000000000250
P2164550740001528             FIO VERDE BB 089 SETE                             UNI   ATI0000000000000250
P2164550740001529             FIO VERDE CITRICO 157 SETE                        UNI   ATI0000000000000250
P21645507400015210            FIO VERMELHO 047 SETE                             UNI   ATI0000000000000250
P21645507400015211            FIO VERMELHO 049 SETE                             UNI   ATI0000000000000250
P21645507400015213            LINHA LARANJA 018                                 UNI   ATI0000000000000250
P21645507400015215            LINHA LARANJA 016 SETE                            UNI   ATI0000000000000250
P21645507400015218            LINHA AZUL MARINHO 074 SETE                       UNI   ATI0000000000000250
P21645507400015219            FIO CINZA 154 SETE                                UNI   ATI0000000000000250
P21645507400015221            FIO CINZA 148 SETE                                UNI   ATI0000000000000250
P21645507400015222            LINHA AZUL TURQUESA 058 SETE                      UNI   ATI0000000000000250
P21645507400015223            FIO AZUL CELESTE 053 SETE                         UNI   ATI0000000000000250
P21645507400015224            FIO AZUL CELESTE 055 SETE                         UNI   ATI0000000000000250
P21645507400015225            LINHA BRANCO 001 SETE                             UNI   ATI0000000000000250
P21645507400015226            LINHA MARFIM 002 SETE                             UNI   ATI0000000000000250
P21645507400015227            FIO MARROM 137 SETE                               UNI   ATI0000000000000250
P21645507400015228            LINHA BEGE 003 SETE                               UNI   ATI0000000000000250
P21645507400015229            LINHA AMARELO BB 004 SETE                         UNI   ATI0000000000000250
P21645507400015230            LINHA AMARELO CANARIO 005 SETE                    UNI   ATI0000000000000250
P21645507400015231            FIO CINZA GRAFITE 155 SETE                        UNI   ATI0000000000000250
P21645507400015233            LINHA VERDE LIMÃO 099 SETE                        UNI   ATI0000000000000250
P21645507400015234            LINHA LARANJA 020 SETE                            UNI   ATI0000000000000250
P21645507400015235            LINHA ROSA BB 027 SETE                            UNI   ATI0000000000000250
P21645507400015236            LINHA ROSA CHICLETE 037 SETE                      UNI   ATI0000000000000250
P21645507400015237            LINHA LILAS 031 SETE                              UNI   ATI0000000000000250
P21645507400015238            LINHA ROXO 083 SETE                               UNI   ATI0000000000000250
P21645507400015239            LINHA ROSA PINK 042 SETE                          UNI   ATI0000000000000250
P21645507400015240            LINHA ROSA BB 026 SETE                            UNI   ATI0000000000000250
P21645507400015241            LINHA VERMELHO 047 SETE                           UNI   ATI0000000000000250
P21645507400015242            LINHA VERMELHO 049 SETE                           UNI   ATI0000000000000250
P21645507400015243            LINHA VINHO 048 SETE                              UNI   ATI0000000000000250
P21645507400015244            LINHA AZUL TURQUESA 059 SETE                      UNI   ATI0000000000000250
P21645507400015245            LINHA AZUL CELESTE 055 SETE                       UNI   ATI0000000000000250
P21645507400015246            LINHA AZUL ROYAL 071 SETE                         UNI   ATI0000000000000250
P21645507400015248            LINHA AZUL MARINHO 068 SETE                       UNI   ATI0000000000000250
P21645507400015249            LINHA CINZA ESCURO 144 SETE                       UNI   ATI0000000000000250
P21645507400015250            LINHA CINZA 149 SETE                              UNI   ATI0000000000000250
P21645507400015251            LINHA CINZA 150 SETE                              UNI   ATI0000000000000250
P21645507400015252            LINHA CINZA 151 SETE                              UNI   ATI0000000000000250
P21645507400015253            LINHA CINZA CLARO 155 SETE                        UNI   ATI0000000000000250
P21645507400015254            LINHA MARROM 134 SETE                             UNI   ATI0000000000000250
P21645507400015255            LINHA VERDE CLARO 066 SETE                        UNI   ATI0000000000000250
P21645507400015256            LINHA VERDE LIMAO SETE                            UNI   ATI0000000000000250
P21645507400015257            LINHA VERDE BB 089 SETE                           UNI   ATI0000000000000250
P21645507400015258            LINHA VERDE AGUA 094 SETE                         UNI   ATI0000000000000250
P21645507400015259            LINHA VERDE MILITAR 098                           UNI   ATI0000000000000250
P21645507400015260            LINHA VERDE MUSGO 108 SETE                        UNI   ATI0000000000000250
P21645507400015261            LINHA AZUL PISCINA 056 SETE                       UNI   ATI0000000000000250
P21645507400015262            LINHA AZUL TURQUESA 063 SETE                      UNI   ATI0000000000000250
P21645507400015263            LINHA AMARELO CITRICO 156 SETE                    UNI   ATI0000000000000250
P21645507400015264            LINHA VERDE BB 091 SETE                           UNI   ATI0000000000000250
P21645507400015265            LINHA LARANJA CITRICO 158 SETE                    UNI   ATI0000000000000250
P21645507400015266            FIO BRANCO 001 SETE                               UNI   ATI0000000000000250
P21645507400015267            FIO MARFIM 002 SETE                               UNI   ATI0000000000000250
P21645507400015268            FIO BEGE 003 SETE                                 UNI   ATI0000000000000250
P21645507400015269            FIO AMARELO BB 004 SETE                           UNI   ATI0000000000000250
P21645507400015270            FIO AMARELO CANARIO 005 SETE                      UNI   ATI0000000000000250
P21645507400015271            FIO AMARELO  007 SETE                             UNI   ATI0000000000000250
P21645507400015272            FIO AMARELO OURO 009 SETE                         UNI   ATI0000000000000250
P21645507400015273            FIO SALMON 021 SETE                               UNI   ATI0000000000000250
P21645507400015274            FIO LARANJA 018 SETE                              UNI   ATI0000000000000250
P21645507400015275            FIO SALMOM 020 SETE                               UNI   ATI0000000000000250
P21645507400015276            FIO ROSA BB 033 SETE                              UNI   ATI0000000000000250
P21645507400015277            FIO ROSA PINK 042 SETE                            UNI   ATI0000000000000250
P21645507400015278            FIO ROSA CHICLETE 037 SETE                        UNI   ATI0000000000000250
P21645507400015279            FIO LILAS 032 SETE                                UNI   ATI0000000000000250
P21645507400015280            FIO AZUL BB 060 SETE                              UNI   ATI0000000000000250
P21645507400015281            FIO AZUL ROYAL 069 SETE                           UNI   ATI0000000000000250
P21645507400015282            FIO AZUL ROYAL 071 SETE                           UNI   ATI0000000000000250
P21645507400015283            FIO AZUL MARINHO 074 SETE                         UNI   ATI0000000000000250
P21645507400015284            FIO AZUL MARINHO 075 SETE                         UNI   ATI0000000000000250
P21645507400015285            FIO VINHO 050 SETE                                UNI   ATI0000000000000250
P21645507400015286            FIO PRETO 000 SETE                                UNI   ATI0000000000000250
P21645507400015287            LINHA PRETA 000 SETE                              UNI   ATI0000000000000250
P21645507400015288            FIO CINZA 140 SETE                                UNI   ATI0000000000000250
P21645507400015289            FIO CINZA 141 SETE                                UNI   ATI0000000000000250
P21645507400015290            FIO CINZA 150 SETE                                UNI   ATI0000000000000250
P21645507400015291            FIO MARROM 136 SETE                               UNI   ATI0000000000000250
P21645507400015292            FIO VERDE LIMAO 099 SETE                          UNI   ATI0000000000000250
P21645507400015293            FIO VERDE 100 SETE                                UNI   ATI0000000000000250
P21645507400015294            FIO VERDE BANDEIRA 103 SETE                       UNI   ATI0000000000000250
P21645507400015295            FIO VERDE MILITAR 108 SETE                        UNI   ATI0000000000000250
P21645507400015297            FIO LARANJA CITRICO 158 SETE                      UNI   ATI0000000000000250
P21645507400015298            FIO AMARELO CITRICO 156 SETE                      UNI   ATI0000000000000250
P21645507400015299            LINHA MARROM ESCURO 136 SETE                      UNI   ATI0000000000000250
P216455074000152102           HELANCA AZUL ROYAL QUATRO K                       KG    ATI0000000000002350
P216455074000152103           HELANCA CINZA GRAFITE QUATRO K                    KG    ATI0000000000002350
P216455074000152104           HELANCA AMARELO OURO QUATRO K                     KG    ATI0000000000002350
P216455074000152105           HELANCA AZUL MARINHO QUATRO K                     KG    ATI0000000000002350
P216455074000152106           HELANCA AZUL TURQUESA QUATRO K                    KG    ATI0000000000002350
P216455074000152107           HELANCA BRANCO QUATRO K                           KG    ATI0000000000002350
P216455074000152108           HELANCA CINZA CLARO QUATRO K                      KG    ATI0000000000002350
P216455074000152109           HELANCA LARANJA QUATRO K                          KG    ATI0000000000002350
P216455074000152110           HELANCA MARROM QUATRO K                           KG    ATI0000000000002350
P216455074000152111           HELANCA PRETO QUATRO K                            KG    ATI0000000000002350
P216455074000152112           HELANCA VERDE BANDEIRA QUATRO K                   KG    ATI0000000000002350
P216455074000152113           HELANCA VERDE MUSGO QUATRO K                      KG    ATI0000000000002350
P216455074000152114           HELANCA VERMELHO QUATRO K                         KG    ATI0000000000002350
P216455074000152115           HELANCA VINHO QUATRO K                            KG    ATI0000000000002350
