U101923894000154023600713     400416        SANTO ANTONIO ALUMINIO LTDA                       
P20192389400015408061         CHAPA ROLO 1200-H14 600X0.50/CBA                  KG    ATT1700000000002570
P20192389400015408062         CBA PERFIL AL LIGA 6063 N-0320                    M     ATT1700000000000330
P20192389400015408063         CBA PERFIL AL LIGA 6063 N-1370                    M     ATT1700000000002350
P20192389400015408002         CBA PERFIL AL LIGA 6063 N-1223                    M     ATT1700000000001060
P20192389400015408007         CBA PERFIL AL LIGA 6063 N-1310                    M     ATT1700000000000515
P20192389400015408013         CBA PERFIL AL LIGA 6063 N-0147                    M     ATT1700000000000190
P20192389400015408015         DOBRADICA ALUMINIO 70X70 FOSCA                    PC    ATF0000000000000375
P20192389400015408017         CBA PERFIL AL LIGA 6063 N-1090                    M     ATT1700000000001125
P20192389400015408018         CBA PERFIL AL LIGA 6063 N-0098                    M     ATT1700000000000230
P20192389400015408019         CBA PERFIL AL LIGA 6063 N-0392                    M     ATT1700000000003300
P20192389400015408020         CBA PERFIL AL LIGA 6060 L-0045                    M     ATT1700000000000505
P20192389400015408022         CBA PERFIL AL LIGA 6063 U-0001                    M     ATT1700000000000399
P20192389400015408023         CHAPA ROLO 1200-H14 500X0.50/CBA                  KG    ATT1700000000002760
P20192389400015408024         CHAPA AL LISA 1200-H14 2.0X1.0X1.2M               PC    ATT1700000000016499
P20192389400015408025         CBA PERFIL AL LIGA 6063 N-1615/MOLDURA PORTA      M     ATT1700000000002110
P20192389400015408026         CBA PERFIL AL LIGA 6063 E-0691                    M     ATT1700000000000510
P20192389400015408027         CBA PERFIL AL LIGA 6063 E-0946                    M     ATT1700000000000690
P20192389400015408028         CBA PERFIL AL LIGA 6063 N-1553                    M     ATT1700000000000920
P20192389400015408029         CBA PERF AL LIGA 6063 N-1896/TRILH.INF.BOX L-25   M     ATT1700000000000960
P20192389400015408030         CBA PERFIL AL LIGA 6063 N-1099                    M     ATT1700000000000725
P20192389400015408032         CBA PERFIL AL LIGA 6063 N-1152                    M     ATT1700000000000965
P20192389400015408033         CBA PERFIL AL LIGA 6063 N-2126                    M     ATT1700000000001760
P20192389400015408037         CBA PERFIL AL LIGA 6063 N-1958                    M     ATT1700000000001340
P20192389400015408038         CBA PERF AL LIGA 6063 N-1961/ABERTO P/JANELA L-25 M     ATT1700000000001210
P20192389400015408044         CBA PERFIL AL LIGA 6063 N-1347                    M     ATT1700000000001700
P20192389400015408045         CBA PERFIL AL LIGA 6063 N-1101/ SP 200            M     ATT1700000000001250
P20192389400015408046         CBA PERFIL AL LIGA 6063 N-1618                    M     ATT1700000000000850
P20192389400015408047         CBA PERFIL AL LIGA 6063 N-0749                    M     ATT1700000000000910
P20192389400015408048         CBA PERFIL AL LIGA 6063 N-1014                    M     ATT1700000000000735
P20192389400015408049         CBA PERFIL AL LIGA 6063 N-1609                    M     ATT1700000000002190
P20192389400015408050         CBA PERF AL AL LIGA 6063 N-1895/DIV.BOX L-25      M     ATT1700000000000850
P20192389400015408051         CBA PERFIL AL LIGA 6063 N-1269                    M     ATT1700000000002480
P20192389400015408052         CBA PERFIL AL LIGA 6063 N-0697                    M     ATT1700000000001885
P20192389400015408053         CBA PERFIL AL LIGA 6063 N-0042                    M     ATT1700000000000625
P20192389400015408054         CBA PERFIL AL LIGA 6063 N-0417                    M     ATT1700000000000285
P20192389400015408056         CBA PERFIL AL LIGA 6063 N-0717                    M     ATT1700000000002040
P20192389400015408057         CBA PERFIL AL LIGA 6063 N-0710                    M     ATT1700000000002200
P20192389400015408059         CBA PERF AL LIGA 6063 N-1898/TRIL.SUP.BOX L-25    M     ATT1700000000001660
P20192389400015408064         CBA PERF AL LIGA 6063 N-1897/LATERAL BOX L-25     M     ATT1700000000000800
P20192389400015408065         CBA PERFIL AL LIGA 6063 N-0009                    M     ATT1700000000000390
P20192389400015408067         CBA PERFIL AL LIGA 6063 E-709/ BAGUETE            M     ATT1700000000000370
P20192389400015408070         HASTE ALUMINIO 1/4 X 30                           UN    ATF0000000000000138
P20192389400015408335         HASTE ALUMINIO 1/4 X 20                           PC    ATF0000000000000102
P20192389400015408073         HASTE ALUMINIO 1/4 X 25                           UN    ATF0000000000000117
P20192389400015408077         FECHO CONTRA FECHO ALUM REB DIR FOSCO             UNI   ATT1700000000000350
P20192389400015408080         DOBRADICA  ALUM 90 X 70 FOSCA                     UN    ATF0000000000000399
P20192389400015408081         PROMEL DOBRADICA AL.102X64 804                    UN    ATT1700000000000660
P20192389400015408084         POLIEST.MONOCRIL 98 X 180 X 002 CRISTAL           UN    ATT1700000000005550
P20192389400015408085         POLIEST.ESPUMA 98 X 180 X 0002 CRISTAL.           UN    ATI0000000000005550
P20192389400015408086         POLIEST.MONOCRIL 98 X 180 X 002 FUME              UN    ATI0000000000005550
P20192389400015408090         POLIEST.AMAZONAS 98 X 180 X 002 CRISTAL           UN    ATI0000000000005550
P20192389400015408091         POLIEST.NIAGARA 98 X 180 X 002 OURO               UN    ATI0000000000005550
P20192389400015408092         POLIEST AMAZONAS 98 X 180 X 002 OURO              PC    ATT1700000000005550
P20192389400015408093         POLIEST.AMAZONAS 98 X 180 X 002 VERDE             UN    ATI0000000000005550
P20192389400015408094         POLIEST.ESPUMA 98 X 180 X 002 FUME                UN    ATI0000000000005550
P20192389400015408095         POLIEST. CANELADO 98 X 180 X 002 FUME             UN    ATI0000000000005550
P20192389400015408096         POLIEST.NIAGARA 98 X 180 X 002 VERDE              UN    ATI0000000000005550
P20192389400015408338         GERDAU BARRA REDONDA 5/16 6MTS                    PC    ATT1700000000001499
P20192389400015408339         GERDAU BARRA REDONDA 1/2 6MTS                     PC    ATT1700000000002670
P20192389400015408340         CBA PERFIL AL LIGA 6060 N-3185/MOLDURA BUZIO      M     ATT1700000000002899
P20192389400015408341         GERDAU BARRA QUADRADA 3/8                         PC    ATT1700000000001990
P20192389400015408342         GERDAU BARRA QUADRADA 1/2                         PC    ATT1700000000003370
P20192389400015408344         GERDAU BARRA CHATA 5/8 X 1/8                      PC    ATT1700000000001210
P20192389400015408346         GERDAU BARRA CHATA 7/8 X 1/8                      PC    ATT1700000000001840
P20192389400015408347         GERDAU BARRA CHATA 1 X 1/8                        PC    ATT1700000000001715
P20192389400015408348         GERDAU BARRA CHATA 1.1/4 X 1/8                    PC    ATT1700000000002815
P20192389400015408350         GERDAU BARRA CHATA 2 X 1/8                        M     ATT1700000000000700
P20192389400015408351         GERDAU BARRA CHATA 1/2 X 3/16                     PC    ATT1700000000001480
P20192389400015408352         GERDAU BARRA CHATA 5/8 X 3/16                     PC    ATT1700000000001690
P20192389400015408353         GERDAU BARRA CHATA 3/4 X 3/16                     PC    ATT1700000000002090
P20192389400015408354         GERDAU BARRA CHATA 7/8 X 3/16                     PC    ATT1700000000002320
P20192389400015408356         GERDAU BARRA CHATA 1.1/4 X 3/16 6MT               PC    ATT1700000000003395
P20192389400015408358         GERDAU BARRA CHATA 1/2 X 1/4                      PC    ATT1700000000001699
P20192389400015408359         GERDAU BARRA CHATA 1.1/2 X 1/8                    PC    ATT1700000000003648
P20192389400015408360         GERDAU BARRA CHATA 7/8 X 1/4                      PC    ATT1700000000003310
P20192389400015408361         GERDAU BARRA CHATA 1 X 1/4                        PC    ATT1700000000003578
P20192389400015408362         GERDAU BARRA CHATA 1/2 SERRALHEIRO                PC    ATT1700000000000725
P20192389400015408363         GERDAU CANTONEIRA 5/8 X 1/8                       PC    ATT1700000000001880
P20192389400015408367         GERDAU CANTONEIRA 7/8 X 1/8                       PC    ATT1700000000002780
P20192389400015408368         GERDAU CANTONEIRA 1 X 1/8                         PC    ATT1700000000003399
P20192389400015408370         GERDAU CANTONEIRA 1.1/2 X 1/8                     M     ATT1700000000001010
P20192389400015408371         GERDAU CANTONEIRA 2 X 1/8                         PC    ATT1700000000007710
P20192389400015408372         GERDAU CANTONEIRA 1.1/2 X 3/16                    PC    ATT1700000000008570
P20192389400015408373         GERDAU CANTONEIRA 1 X 3/16                        PC    ATT1700000000004785
P20192389400015408374         GERDAU CANTONEIRA 1.1/4 X 3/16                    PC    ATT1700000000006220
P20192389400015408375         GERDAU CANTONEIRA 5/8 SERRALHEIRO                 PC    ATT1700000000001730
P20192389400015408377         GERDAU VERGALHAO 1/4 CA-50                        PC    ATF0000000000001460
P20192389400015408378         GERDAU VERGALHAO 5/16 CA-50                       PC    ATF0000000000002270
P20192389400015408379         GERDAU VERGALHAO 3/8 CA-50                        PC    ATF0000000000003330
P20192389400015408380         GERDAU VERGALHAO 1/2 CA-50                        PC    ATF0000000000004745
P20192389400015408381         GERDAU VERGALHAO 4.2 CA-60 KG                     KG    ATT1700000000000472
P20192389400015408382         GERDAU VERGALHAO 5.0 CA-60 KG                     KG    ATT1700000000000472
P20192389400015408384         GERDAU ARAME GALV 16                              KG    ATF0000000000001110
P20192389400015408385         GERDAU ARAME GALV 14                              KG    ATF0000000000001010
P20192389400015408386         GERDAU ARAME GALV 12                              KG    ATF0000000000000920
P20192389400015408391         GERDAU ARAME RECOZIDO 18                          KG    ATF0000000000000918
P20192389400015408392         REBITE REP AL 5/32X3/4 419 4X19MM                 UNI   ATT1700000000000012
P20192389400015408397         GERDAU CANTONEIRA 3/4 SERRALHEIRO                 PC    ATT1700000000002050
P20192389400015408398         GERDAU BARRA CHATA 3/4 X 1/4                      PC    ATT1700000000002960
P20192389400015408399         GERDAU CANTONEIRA 1.1/4 X 1/8                     PC    ATT1700000000004710
P20192389400015408400         GERDAU PREGO CC 15X18-1.1/2 X 13 RIPA             KG    ATF0000000000000975
P20192389400015408402         GERDAU TUBO GALVANIZADO 1/2                       M     ATT1700000000000899
P20192389400015408403         GERDAU TUBO GALVANIZADO 3/4                       M     ATT1700000000001140
P20192389400015408404         GERDAU TUBO GALVANIZADO 1 X 2.25 MM               M     ATT1700000000001560
P20192389400015408405         GERDAU TUBO GALVANIZADO 1.1/4 X 2.25 MM           M     ATT1700000000001970
P20192389400015408406         GERDAU TUBO GALVANIZADO 1.1/2 X 2.65 MM           M     ATT1700000000002270
P20192389400015408407         GERDAU ELETRODO 2.50MM - AZUL FINO                KG    ATF0000000000001690
P20192389400015408408         GERDAU ELETRODO 3.25MM - AZUL MEDIO               KG    ATF0000000000001510
P20192389400015408409         GERDAU BARRA CHATA 3/4 X 1/8                      PC    ATT1700000000001245
P20192389400015408411         ACO CEARENSE PE DE PORTA GALVANIZADO 1.25         PC    ATT1700000000003420
